,report_date,report_content,day_of_week,post_date,post_id,post_title,wetsuit_adviezen_str,wetsuit_adviezen,post_url
0,2021-01-12 00:00:00.000000,"Dinsdag 12 januari
Het blijft de hele dag waaien uit noordwest, windkracht 5 tot dik 6bft. De wind neemt eerder toe dan af door het overtrekken van een trog met een beetje bewolking. De neerslag stelt daarbij niet veel voor, de zon wel! Dat is dan ook het enige echt mooie aan de surf deze dag. Hoewel, de ochtend natuurlijk wel mooier met minder wind was. De getijden zijn deze middag dan weer beter en in de zuidwest regio’s is de wind iets minder krachtig pal op de kust. De golfhoogte neemt toe naar 1 tot 1,5m met een vrij korte swellperiode. ",dinsdag,2021-01-12,post-33062,"Surfweer dinsdag 12 januari 2021

","Wetsuit-adviezen, De zee is +6 C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuwe 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: wetsuit 6mm of 5/4mm cap +1mm, hand 5mm, schoen 7mm
Weekend: Optimale fit 5/4mm dikte, schoen 6mm, hand 3mm, cap 2","6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm",http://surfweer.nl/surf/surfweer-dinsdag-12-januari-2021/
1,2021-01-13 00:00:00.000000,"Woensdag 13 januari
Ineens zijn de golven twee keer zo krachtig en lokaal ook twee keer zo hoog door een hogere swellperiode. In tegenstelling tot dinsdag is de ochtend minder geschikt, ook vanwege de vrij pittige stroming van het afgaande getij. Een uitzondering is Zeeland en voor België, waar de wind veel zwakker is en niet WNW pal op de kust staat, maar WZW. Het is dan nog wel laagwater, maar met deze swellhoogtes (2-3m) blijft er toch een kleine meter van over met de lagere waterstanden. Later op de middag trekt de wind weer iets aan en wordt meer onshore WNW. Het beste in de zuidregio’s is dus ergens tussen die twee momenten, ook al is het dan niet volledig vloed. Wat het midden en noorden van Nederland betreft, het wordt doorbijten met de blijvende onshore en dikke bakken golven. Dan is het wel handig om te wachten tot het helemaal vloed wordt later op de middag. Alleen in het uiterste noorden en op de wadden blijft het ook dan nog echt te stevig doorwaaien met onmogelijke wildwatercondities. Op Texel windkracht 6, de overige wadden nog heel even windkracht 7. Wat een verschil met het zuiden van Nederland, waar de wind merendeels maar 3bft is! ",woensdag,2021-01-12,post-33062,"Surfweer dinsdag 12 januari 2021

","Wetsuit-adviezen, De zee is +6 C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuwe 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: wetsuit 6mm of 5/4mm cap +1mm, hand 5mm, schoen 7mm
Weekend: Optimale fit 5/4mm dikte, schoen 6mm, hand 3mm, cap 2","Nieuwe 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm",http://surfweer.nl/surf/surfweer-dinsdag-12-januari-2021/
2,2021-01-14 00:00:00.000000,"Donderdag 14 januari
De wind is weg, maar de golven zijn dat niet. Die komen van ver en zijn nog de hele dag aanwezig in de underground layers van de Noordzee wateren. Er kan dus zowel in de ochtend gesurft worden op alle spots in N-H en Zuid-Holland (met uitzondering van de meest zuidelijke Z-H spot). Daar en ook op de Zeeuwse en Belgische stranden, is het wachten tot de vloed opkomt. Met eb heeft de swell nog niet echt hoogte, maar uiteindelijk komt het ook daar over de banken rollen en blijft de wind aflandig met mooie cleane lijntjes. Echter wie lekker hoog wil shortboarden in België en de wind voor lief neem, pakt beter woensdag hoogwater mee. ",donderdag,2021-01-12,post-33062,"Surfweer dinsdag 12 januari 2021

","Wetsuit-adviezen, De zee is +6 C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuwe 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: wetsuit 6mm of 5/4mm cap +1mm, hand 5mm, schoen 7mm
Weekend: Optimale fit 5/4mm dikte, schoen 6mm, hand 3mm, cap 2","wetsuit 6mm of 5/4mm cap +1mm, hand 5mm, schoen 7mm",http://surfweer.nl/surf/surfweer-dinsdag-12-januari-2021/
3,,"Vrijdag en het weekend
Waar de swell donderdagmiddag nog door bleef gaan, is vrijdag echt helemaal niets meer van over. Alleen in België is er kans op een onshore briesje uit noordoost, waardoor er toch wat kleine schuimkopjes in de branding te zien zijn. Met een beetje geluk is de wind iets harder dan verwacht en is het iets hoger met een kansje voor beginners. Uiteraard pas later op de dag, wanneer het tij iets van een extra aanlandig zetje geeft. Dit weekend wordt dus nog even afwachten. Hoogstwaarschijnlijk staat er op zaterdag een toenemende wind uit het zuiden. In de middag in N-H kans op windgolven van bijna een meter hoog, maar niet echt krachtig. Op Zondag gaat de wind er uit en is het klein of flat. De wind draait echter wel naar west gedurende de dag. Een nieuwe depressie komt onze kant op en brengt van zondag op maandag een WNW-er. Komt de wind iets eerder, dan is het getij natuurlijk we heel gunstig aan het einde van zondagmiddag. En anders gewoon de dagen daarna met af en toe wind, maar ook periodes van windstiltes die er tussendoor te vinden zullen zijn. De meteorologische parameters blijven tot het einde van de maand gunstig voor swells uit het noorden en/of windgolven uit het west tot zuidwesten! De kans op een iets kouder weertype is ook aanwezig, maar dat zou alleen maar ten goede komen aan meer swells uit het noorden.",vrijdag,2021-01-12,post-33062,"Surfweer dinsdag 12 januari 2021

","Wetsuit-adviezen, De zee is +6 C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuwe 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: wetsuit 6mm of 5/4mm cap +1mm, hand 5mm, schoen 7mm
Weekend: Optimale fit 5/4mm dikte, schoen 6mm, hand 3mm, cap 2",vrijdag,http://surfweer.nl/surf/surfweer-dinsdag-12-januari-2021/
4,,"Wetsuit-adviezen, De zee is +6 C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuwe 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: wetsuit 6mm of 5/4mm cap +1mm, hand 5mm, schoen 7mm
Weekend: Optimale fit 5/4mm dikte, schoen 6mm, hand 3mm, cap 2","wetsuit-adviezen,",2021-01-12,post-33062,"Surfweer dinsdag 12 januari 2021

","Wetsuit-adviezen, De zee is +6 C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuwe 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: wetsuit 6mm of 5/4mm cap +1mm, hand 5mm, schoen 7mm
Weekend: Optimale fit 5/4mm dikte, schoen 6mm, hand 3mm, cap 2","wetsuit-adviezen,",http://surfweer.nl/surf/surfweer-dinsdag-12-januari-2021/
0,2021-01-05 00:00:00.000000,"Dinsdag 5 januari
In het zuiden is de swell-richting pal aanlandig en wordt meer dan 1 meter golfhoogte op een piekperiode van 7 seconden gemeten. De wind zal wat gaan afnemen in de laatste uren voor donker en het laatste uurtje voor donker wordt het in België en Zeeland nog even mid-tij. Daar dus wel net op tijd nog de opkomende vloedperiode, terwijl dat in Zuid-Holland zuid niet meer op tijd voor het donker komt. Midden Zuid-Holland is eventueel een alternatief, omdat daar golven met laagwater niet al te close-out breken en voldoende hoogte hebben. In Noord-Holland ebt de hoogte weg en is het klein, maar wel offshore. Eind van de middag kan nog wel leuk zijn met groot board, want de stroming gaat er uit en de wind neemt iets af (blijft wel ONO). Richting de grens met Z-H wel betere condities als verder naar het noorden, want de richting van de golven blijven in N-H uit het noordoosten komen. Met uitzondering van de wadden, want daar komt het natuurlijk wel vol binnen. Helaas wel met een veel sterkere noordoostelijke wind. ",dinsdag,2021-01-05,post-33042,"Surfweer Dinsdag 5 januari 2021

","Wetsuit-adviezen, water 6 gr C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuw 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm
Weekend: Solide 5/4mm  schoen 6, hand 3mm, cap 2.","6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm",http://surfweer.nl/surf/surfweer-dinsdag-5-januari-2021/
1,2021-01-06 00:00:00.000000,"Woensdag 6 januari
Woensdag een kort intermezzo met minder of zelfs geen wind en swell uit het noordoosten. Het getij is weer een uurtje opgeschoven en dat heeft als voordeel dat de vroege ochtenden deze en de komende dagen steeds beter geschikt worden voor een surfje. In het noorden zelfs een langere surf, want daar blijft het de hele ochtend voldoende hoogwater. Zeker als de wind afwezig is kan er dan juist met afgaand tij ook nog wat moois worden verwacht. De maanstand zit in het laatste kwartier en dat geeft altijd een wat beter afgaand tij moment dan de snelle eb en vloed stromen van springtij. Uiteraard is dit niet van toepassing op de meest zuidelijke spots, daar zal de ochtend de enige optie zijn om goede golven te scoren. Meer uitleg over deze factoren die van invloed zijn op de surf in de Noordzee is te vinden via ons online cursusaanbod!",woensdag,2021-01-05,post-33042,"Surfweer Dinsdag 5 januari 2021

","Wetsuit-adviezen, water 6 gr C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuw 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm
Weekend: Solide 5/4mm  schoen 6, hand 3mm, cap 2.","Nieuw 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm",http://surfweer.nl/surf/surfweer-dinsdag-5-januari-2021/
2,2021-01-07 00:00:00.000000,"Donderdag 7 januari
De swell en golfhoogte verdubbelen op donderdag, maar de wind maakt het niet erg clean. Toch kan het de moeite waard zijn, zeker met hoogwater in de ochtend. Of met wat minder wind in het zuiden. De richting is wel overal onshore, op een enkele uitzondering na. Omdat het laag zo spontaan ontstaat is er wat onzekerheid in de verwachte windafname overdag. Check de laatste kaartjes voor je gaat, of de surf-report updates hieronder –> ",donderdag,2021-01-05,post-33042,"Surfweer Dinsdag 5 januari 2021

","Wetsuit-adviezen, water 6 gr C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuw 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm
Weekend: Solide 5/4mm  schoen 6, hand 3mm, cap 2.","(6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm",http://surfweer.nl/surf/surfweer-dinsdag-5-januari-2021/
3,2021-01-08 00:00:00.000000,"Vrijdag 8 januari
De onzekerheid over het lokale lagedrukgbied is ook nog aanwezig in de verwachting voor vrijdag. De swellhoogtes zijn wel vrij zeker vrij hoog, ideale condities om een filmpje te maken voor onze Wave of the Winter actie. Gebruik hashtag  #nhwaveofthewinter op instagram bij je post van een dikke golf. en doe mee! ",vrijdag,2021-01-05,post-33042,"Surfweer Dinsdag 5 januari 2021

","Wetsuit-adviezen, water 6 gr C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuw 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm
Weekend: Solide 5/4mm  schoen 6, hand 3mm, cap 2.",vrijdag,http://surfweer.nl/surf/surfweer-dinsdag-5-januari-2021/
4,2021-01-09 00:00:00.000000,"Zaterdag 9 januari
Een nieuwe swell arriveert in de ochtend en heeft een golf(piek)periode van ruim 10 seconden. De wadden en het noorden worden vol geraakt en ook Zuid-Holland doet goed mee met krachtigere golven. In het zuiden gaat er wat van de hoogte af door de ondieptes van de kust van Zeeland en Belgie. Maar niet te veel, zodat er daar bij hoogwater ook nog cleane surf te verwachten is. De windrichting is wel noordoost, alleen is lichtjes te noemen. Wil je echt helemaal geen wind, dan is zondag de beste dag van het weekend. Iets minder hoogte, maar nog steeds voldoende. Hoewel dat in mindere mate het geval is voor Vlaanderen en Zeeland.",zaterdag,2021-01-05,post-33042,"Surfweer Dinsdag 5 januari 2021

","Wetsuit-adviezen, water 6 gr C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuw 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm
Weekend: Solide 5/4mm  schoen 6, hand 3mm, cap 2.",zaterdag,http://surfweer.nl/surf/surfweer-dinsdag-5-januari-2021/
